pattern,support,sequences
[36],5,"[0, 1, 7, 8, 9]"
[35],6,"[0, 1, 4, 7, 8, 9]"
[34],3,"[0, 8, 9]"
[33],6,"[0, 1, 4, 7, 8, 9]"
[32],5,"[1, 4, 5, 8, 9]"
[30],6,"[1, 3, 4, 5, 7, 8]"
"[26, 27]",3,"[0, 4, 8]"
"[16, 31]",3,"[4, 5, 7]"
"[31, 16]",3,"[7, 8, 9]"
"[29, 15]",4,"[0, 1, 7, 9]"
"[16, 27]",3,"[4, 5, 8]"
"[28, 15]",4,"[0, 1, 7, 9]"
"[17, 24]",4,"[0, 4, 8, 9]"
"[24, 17]",3,"[1, 8, 9]"
"[19, 20]",4,"[1, 3, 4, 9]"
"[24, 13]",5,"[1, 4, 5, 8, 9]"
"[18, 19]",4,"[0, 1, 2, 5]"
"[16, 21]",4,"[0, 1, 4, 9]"
"[15, 21]",3,"[1, 5, 9]"
"[8, 28]",3,"[4, 5, 9]"
"[11, 24]",3,"[2, 3, 4]"
"[15, 19]",3,"[4, 7, 9]"
"[20, 14]",5,"[1, 4, 7, 8, 9]"
"[19, 15]",3,"[1, 5, 7]"
"[22, 11]",3,"[2, 5, 9]"
"[25, 8]",3,"[5, 7, 8]"
"[12, 19]",3,"[3, 4, 5]"
"[14, 17]",3,"[0, 4, 5]"
"[14, 16]",4,"[0, 1, 4, 8]"
"[16, 14]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[24, 6]",3,"[2, 7, 9]"
"[5, 24]",3,"[0, 5, 9]"
"[24, 5]",8,"[0, 2, 4, 5, 6, 7, 8, 9]"
"[23, 6]",3,"[1, 6, 9]"
"[26, 3]",3,"[0, 5, 9]"
"[6, 22]",3,"[3, 6, 7]"
"[15, 12]",3,"[3, 4, 7]"
"[20, 6]",4,"[1, 7, 8, 9]"
"[9, 17]",4,"[0, 6, 8, 9]"
"[3, 23]",3,"[3, 6, 8]"
"[13, 12]",4,"[0, 1, 4, 8]"
"[14, 11]",4,"[0, 5, 8, 9]"
"[17, 8]",3,"[5, 8, 9]"
"[0, 25]",3,"[0, 5, 7]"
"[24, 0]",5,"[2, 4, 5, 8, 9]"
"[23, 1]",4,"[1, 4, 7, 9]"
"[17, 6]",3,"[4, 5, 9]"
"[23, 0]",5,"[0, 1, 4, 6, 8]"
"[22, 1]",4,"[1, 4, 5, 6]"
"[18, 5]",4,"[4, 5, 7, 8]"
"[12, 10]",3,"[0, 1, 5]"
"[1, 20]",3,"[5, 8, 9]"
"[10, 11]",3,"[5, 8, 9]"
"[17, 3]",4,"[3, 6, 7, 8]"
"[19, 0]",4,"[0, 2, 3, 9]"
"[15, 4]",4,"[0, 5, 7, 8]"
